Warning: Permanently added '[localhost]:15116' (ED25519) to the list of known hosts.
syzkaller login: [  198.207741][ T9284] Bluetooth: hci0: unexpected cc 0x0c03 length: 249 > 1
[  198.221737][ T9292] Bluetooth: hci2: unexpected cc 0x0c03 length: 249 > 1
[  198.234772][ T9295] Bluetooth: hci0: unexpected cc 0x1003 length: 249 > 9
[  198.237241][ T9295] Bluetooth: hci1: unexpected cc 0x0c03 length: 249 > 1
[  198.239790][ T9295] Bluetooth: hci2: unexpected cc 0x1003 length: 249 > 9
[  198.242271][ T9295] Bluetooth: hci3: unexpected cc 0x0c03 length: 249 > 1
[  198.245937][ T9295] Bluetooth: hci0: unexpected cc 0x1001 length: 249 > 9
[  198.248439][ T9295] Bluetooth: hci2: unexpected cc 0x1001 length: 249 > 9
[  198.250129][ T9295] Bluetooth: hci3: unexpected cc 0x1003 length: 249 > 9
[  198.252733][ T9295] Bluetooth: hci3: unexpected cc 0x1001 length: 249 > 9
[  198.255293][ T9295] Bluetooth: hci0: unexpected cc 0x0c23 length: 249 > 4
[  198.257342][ T9295] Bluetooth: hci2: unexpected cc 0x0c23 length: 249 > 4
[  198.260866][ T9295] Bluetooth: hci1: unexpected cc 0x1003 length: 249 > 9
[  198.263582][ T9295] Bluetooth: hci3: unexpected cc 0x0c23 length: 249 > 4
[  198.265281][ T9295] Bluetooth: hci0: unexpected cc 0x0c25 length: 249 > 3
[  198.266968][ T9295] Bluetooth: hci2: unexpected cc 0x0c25 length: 249 > 3
[  198.269019][ T9295] Bluetooth: hci0: unexpected cc 0x0c38 length: 249 > 2
[  198.270793][ T9295] Bluetooth: hci2: unexpected cc 0x0c38 length: 249 > 2
[  198.272612][ T9295] Bluetooth: hci3: unexpected cc 0x0c25 length: 249 > 3
[  198.277021][ T5057] Bluetooth: hci3: unexpected cc 0x0c38 length: 249 > 2
[  198.279296][ T9295] Bluetooth: hci1: unexpected cc 0x1001 length: 249 > 9
[  198.284282][ T9295] Bluetooth: hci1: unexpected cc 0x0c23 length: 249 > 4
[  198.287076][ T9295] Bluetooth: hci1: unexpected cc 0x0c25 length: 249 > 3
[  198.288979][ T9292] Bluetooth: hci1: unexpected cc 0x0c38 length: 249 > 2
[  199.616711][ T9279] chnl_net:caif_netlink_parms(): no params data found
[  199.651003][ T9280] chnl_net:caif_netlink_parms(): no params data found
[  200.249182][ T9278] chnl_net:caif_netlink_parms(): no params data found
[  200.296976][ T9275] chnl_net:caif_netlink_parms(): no params data found
[  200.354770][ T9297] Bluetooth: hci3: command 0x0409 tx timeout
[  200.355356][ T9298] Bluetooth: hci1: command 0x0409 tx timeout
[  200.357568][ T9297] Bluetooth: hci2: command 0x0409 tx timeout
[  200.435266][ T9297] Bluetooth: hci0: command 0x0409 tx timeout
[  200.661883][ T9279] bridge0: port 1(bridge_slave_0) entered blocking state
[  200.664656][ T9279] bridge0: port 1(bridge_slave_0) entered disabled state
[  200.670744][ T9279] device bridge_slave_0 entered promiscuous mode
[  200.802951][ T9280] bridge0: port 1(bridge_slave_0) entered blocking state
[  200.805609][ T9280] bridge0: port 1(bridge_slave_0) entered disabled state
[  200.810922][ T9280] device bridge_slave_0 entered promiscuous mode
[  200.824575][ T9279] bridge0: port 2(bridge_slave_1) entered blocking state
[  200.827263][ T9279] bridge0: port 2(bridge_slave_1) entered disabled state
[  200.846305][ T9279] device bridge_slave_1 entered promiscuous mode
[  200.930837][ T9280] bridge0: port 2(bridge_slave_1) entered blocking state
[  200.933796][ T9280] bridge0: port 2(bridge_slave_1) entered disabled state
[  200.940551][ T9280] device bridge_slave_1 entered promiscuous mode
[  201.344007][ T9279] bond0: (slave bond_slave_0): Enslaving as an active interface with an up link
[  201.436740][ T9279] bond0: (slave bond_slave_1): Enslaving as an active interface with an up link
[  201.446379][ T9280] bond0: (slave bond_slave_0): Enslaving as an active interface with an up link
[  201.492777][ T9278] bridge0: port 1(bridge_slave_0) entered blocking state
